rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,forecast_rainfall_1h,forecast_rainfall_3h,forecast_rainfall_6h,forecast_rainfall_12h,temperature,humidity,pressure,wind_speed,elevation,slope,drainage_capacity,impervious_surface,population_density,historical_flood_frequency,flood
5.09,6.37,25.97,60.05,61.63,7.39,7.19,37.22,69.17,32.64,83.61,997.13,16.95,8.49,4.58,54.2,56.67,3957.21,7.67,0
2.03,11.92,23.81,41.89,69.47,1.15,3.36,39.19,14.42,22.88,85.81,1009.95,18.35,12.01,3.42,56.87,63.94,8614.29,4.67,1
4.98,16.23,17.34,24.85,34.2,4.21,4.11,0.0,30.61,29.93,86.53,1010.35,11.21,14.45,4.54,51.94,37.04,2600.14,1.24,0
8.73,11.57,20.65,44.0,55.35,8.77,4.07,29.22,38.0,29.4,83.36,1009.32,13.21,14.92,2.86,28.0,33.95,2031.9,1.01,0
1.96,28.77,33.42,60.13,65.49,0.0,42.16,33.29,45.44,19.77,78.87,999.76,15.86,20.26,5.88,51.17,41.58,6537.83,4.66,0
5.47,38.66,40.24,45.35,50.76,1.47,37.41,32.22,69.66,36.98,100.0,1007.32,6.08,1.0,3.48,41.99,52.52,4163.71,3.58,0
2.66,3.95,4.79,10.94,26.35,3.46,0.0,0.0,64.08,22.89,88.06,996.78,21.45,24.62,2.72,54.35,48.21,7338.22,2.64,0
4.23,42.81,51.91,61.47,84.64,3.97,54.37,61.82,24.21,20.16,97.81,1017.79,12.56,15.4,5.63,37.29,43.89,7929.98,2.82,1
5.33,36.19,44.51,68.38,69.78,2.56,29.41,62.79,73.16,24.58,74.07,1012.02,18.3,36.05,2.72,43.86,55.97,6727.49,4.53,1
4.57,124.57,209.34,213.3,224.94,2.44,85.94,223.54,183.94,21.69,71.65,996.99,13.25,1.0,0.36,89.07,36.83,2709.64,9.51,1
1.98,9.7,79.62,82.99,95.25,3.94,6.69,56.76,73.81,24.22,83.66,1012.1,15.24,24.22,3.1,55.0,47.01,6949.48,3.71,0
5.7,7.54,9.28,55.31,77.85,2.36,12.61,3.96,60.65,25.54,76.76,1001.98,15.22,37.66,0.2,51.21,63.18,6887.98,2.88,0
37.27,37.95,60.66,68.09,83.37,40.64,52.64,74.71,110.83,29.19,87.94,1001.63,14.53,11.63,4.78,36.15,74.08,5428.05,7.51,1
9.24,9.88,16.65,19.35,28.18,11.47,3.31,0.0,23.93,32.78,85.31,985.67,16.43,20.86,3.75,80.86,22.86,4226.69,5.77,0
5.56,20.45,23.97,53.23,112.51,7.98,9.23,18.26,70.34,21.71,76.5,1015.85,8.05,10.13,3.36,68.51,60.21,9986.88,6.57,1
70.0,73.79,74.34,149.91,159.41,39.7,76.9,57.17,148.88,28.38,61.05,985.52,14.43,14.34,3.83,66.23,62.49,8280.4,4.69,1
2.58,8.98,30.45,37.32,68.06,1.02,0.0,11.28,24.0,30.75,74.58,1005.58,22.71,35.93,2.88,76.66,61.66,3487.81,2.22,0
2.01,16.09,85.29,87.39,113.74,3.55,4.96,58.01,48.78,23.73,83.13,1002.49,16.63,24.34,5.38,49.52,33.42,9201.67,3.01,1
2.76,10.56,103.9,237.17,255.05,5.3,12.16,110.41,183.93,16.64,64.59,1000.33,11.65,43.25,4.99,39.61,66.26,4778.77,3.15,1
2.06,21.81,23.49,34.59,405.97,6.28,31.27,19.8,48.12,22.74,85.99,1012.68,16.93,16.57,3.82,50.06,76.84,505.78,2.99,0
22.41,38.27,41.17,42.98,43.45,37.79,39.17,19.56,42.71,26.57,87.49,1006.76,19.35,11.74,4.62,81.06,42.54,3336.91,8.01,0
1.79,34.62,43.39,58.42,165.94,0.0,46.38,44.99,85.45,15.03,68.56,990.51,7.39,22.97,2.68,50.95,57.13,6610.16,0.97,0
5.69,15.9,26.77,153.5,168.31,5.24,9.05,17.71,126.67,28.67,78.61,997.88,21.2,28.87,2.71,44.55,69.87,6563.92,0.0,0
0.94,7.28,8.4,63.18,136.7,2.21,0.0,0.0,103.0,21.12,67.95,1005.88,26.89,5.33,3.45,84.14,30.27,2156.79,2.73,0
4.66,5.15,19.59,25.1,101.0,2.75,12.53,0.0,0.0,28.18,60.92,1007.57,7.55,4.61,4.28,58.87,48.95,10353.54,2.68,0
1.39,10.53,14.23,20.95,105.32,0.0,29.28,0.0,12.52,26.05,64.64,1008.64,18.2,2.07,4.26,87.84,63.1,4988.02,3.57,0
0.56,1.08,10.23,17.13,168.15,5.35,5.4,0.0,47.82,25.38,57.7,1003.86,6.78,15.89,2.85,27.71,30.92,7446.2,2.43,0
4.86,6.82,8.15,38.21,63.22,7.41,9.87,21.15,68.23,24.39,72.78,1000.17,20.33,37.98,2.17,48.2,65.65,5262.72,6.86,0
1.11,1.35,3.46,7.14,20.06,0.13,0.46,0.0,20.19,25.89,85.77,1003.89,19.61,7.58,2.98,51.63,38.11,1309.57,6.06,0
2.9,24.37,24.75,26.58,32.01,2.89,21.37,29.74,36.38,26.06,81.34,1005.26,20.22,29.68,0.2,19.04,78.03,9563.18,0.94,1
12.22,63.48,77.94,84.99,90.62,8.01,74.67,109.97,113.56,30.2,83.31,1014.0,19.08,28.88,4.15,60.45,27.89,6250.86,2.33,0
37.36,66.35,76.65,132.39,149.07,20.23,48.33,90.89,151.62,31.47,78.14,1005.99,14.35,17.57,1.05,52.58,46.57,2249.05,5.53,1
