zone_id,name,latitude,longitude,elevation,slope,drainage_capacity,impervious_surface,population,population_density,historical_flood_frequency
Z001,Central Business District,12.98234,77.59798,866.3,0.96,39.0,87.1,9341,3892.1,9
Z002,Majestic,12.99305,77.60584,858.6,0.59,40.9,79.8,10715,4464.6,13
Z003,KR Market,12.99829,77.62051,869.1,0.9,55.1,77.3,10496,4373.3,10
Z004,Vijayanagar,12.99023,77.64039,846.8,1.25,28.8,92.1,14842,6184.2,10
Z005,Rajajinagar,12.97496,77.65198,877.4,1.5,41.2,95.5,11398,4749.2,12
Z006,Indiranagar,12.97061,77.60182,875.2,0.86,31.7,88.9,12391,5162.9,11
Z007,Koramangala,12.95473,77.61432,890.6,2.93,54.8,60.3,4828,2011.7,8
Z008,HSR Layout,12.93879,77.60703,919.2,3.32,54.9,66.3,10410,4337.5,4
Z009,Jayanagar,12.92763,77.59809,923.5,3.22,60.3,73.8,3973,1655.4,7
Z010,JP Nagar,12.91893,77.56895,901.8,2.81,52.7,53.7,4522,1884.2,2
Z011,Whitefield,12.96725,77.5889,921.0,3.06,62.9,71.0,10447,4352.9,1
Z012,Electronic City,12.96162,77.57355,922.1,3.55,59.5,56.6,7518,3132.5,2
Z013,Hebbal,12.97458,77.5597,920.1,4.0,63.3,72.7,5389,2245.4,5
Z014,Yelahanka,12.98691,77.55242,880.7,3.43,68.7,62.4,7155,2981.2,5
Z015,Banashankari,13.01341,77.55599,908.0,3.67,63.8,63.6,3529,1470.4,8
Z016,RT Nagar,12.97743,77.58882,911.0,4.46,61.3,59.8,4840,2016.7,4
Z017,Malleshwaram,12.99159,77.59202,910.7,3.78,58.9,66.1,4328,1803.3,5
Z018,Basavanagudi,13.00273,77.60438,915.4,3.74,64.0,65.5,9481,3950.4,2
Z019,Domlur,13.00495,77.62538,919.7,3.27,60.6,66.7,6981,2908.8,3
Z020,Marathahalli,12.99228,77.65365,910.1,2.34,60.5,62.6,8208,3420.0,2
Z021,Bommanahalli,12.96823,77.6072,903.9,2.25,73.5,74.0,5274,2197.5,5
Z022,Peenya,12.96037,77.61776,914.3,3.47,73.8,73.4,7695,3206.2,4
Z023,Yeshwanthpur,12.94455,77.62033,898.0,3.72,45.4,57.8,8469,3528.8,7
Z024,Ulsoor,12.92973,77.61531,906.2,4.18,50.2,54.6,3952,1646.7,5
